freebsd/man2/ptrace.2            ptrace
freebsd/man2/quotactl.2          quotactl
freebsd/man2/rctl_add_rule.2     rctl_add_rule,rctl_get_limits,rctl_get_racct,rctl_get_rules,rctl_remove_rule
freebsd/man2/read.2              read,readv,pread,preadv
freebsd/man2/readlink.2          readlink,readlinkat
freebsd/man2/reboot.2            reboot
freebsd/man2/recv.2              recv,recvfrom,recvmsg,recvmmsg
freebsd/man2/rename.2            rename
freebsd/man2/revoke.2            revoke
freebsd/man2/rfork.2             rfork
freebsd/man2/rmdir.2             rmdir
freebsd/man2/rtprio.2            rtprio,rtprio_thread
freebsd/man2/sched_get_priority_max.2 sched_get_priority_max,sched_get_priority_min,sched_rr_get_interval
freebsd/man2/sched_setparam.2    sched_setparam,sched_getparam
freebsd/man2/sched_setscheduler.2 sched_setscheduler,sched_getscheduler
freebsd/man2/sched_yield.2       sched_yield
freebsd/man2/sctp_generic_recvmsg.2 sctp_generic_recvmsg
freebsd/man2/sctp_generic_sendmsg.2 sctp_generic_sendmsg,sctp_generic_sendmsg_iov
freebsd/man2/sctp_peeloff.2      sctp_peeloff
freebsd/man2/select.2            select
freebsd/man2/semctl.2            semctl
freebsd/man2/semget.2            semget
freebsd/man2/semop.2             semop
freebsd/man2/send.2              send,sendto,sendmsg,sendmmsg
freebsd/man2/sendfile.2          sendfile
freebsd/man2/setfib.2            setfib
freebsd/man2/setgroups.2         setgroups
freebsd/man2/setpgid.2           setpgid,setpgrp
freebsd/man2/setregid.2          setregid
freebsd/man2/setresuid.2         getresgid,getresuid,setresgid,setresuid
freebsd/man2/setreuid.2          setreuid
freebsd/man2/setsid.2            setsid
freebsd/man2/setuid.2            setuid,seteuid,setgid,setegid
freebsd/man2/shm_open.2          shm_open
freebsd/man2/shmat.2             shmat,shmdt
freebsd/man2/shmctl.2            shmctl
freebsd/man2/shmget.2            shmget
freebsd/man2/shutdown.2          shutdown
freebsd/man2/sigaction.2         sigaction
freebsd/man2/sigaltstack.2       sigaltstack
freebsd/man2/sigpause.2          sighold,sigignore,sigpause,sigrelse,sigset
freebsd/man2/sigpending.2        sigpending
freebsd/man2/sigprocmask.2       sigprocmask
freebsd/man2/sigqueue.2          sigqueue
freebsd/man2/sigreturn.2         sigreturn
freebsd/man2/sigsetmask.2        sigsetmask,sigblock
freebsd/man2/sigstack.2          sigstack
freebsd/man2/sigsuspend.2        sigsuspend
freebsd/man2/sigvec.2            sigvec
freebsd/man2/sigwait.2           sigwait
freebsd/man2/sigwaitinfo.2       sigtimedwait
freebsd/man2/socket.2            socket
freebsd/man2/socketpair.2        socketpair
freebsd/man2/stat.2              stat,lstat,fstat,fstatat
freebsd/man2/statfs.2            statfs
freebsd/man2/swapon.2            swapon
freebsd/man2/symlink.2           symlink,symlinkat
freebsd/man2/sync.2              sync
freebsd/man2/sysarch.2           sysarch
freebsd/man2/syscall.2           syscall,__syscall
freebsd/man2/thr_exit.2          thr_exit
freebsd/man2/thr_kill.2          thr_kill
freebsd/man2/thr_new.2           thr_new
freebsd/man2/thr_self.2          thr_self
freebsd/man2/thr_set_name.2      thr_set_name
freebsd/man2/thr_suspend.2       thr_suspend
freebsd/man2/thr_wake.2          thr_wake
freebsd/man2/timer_create.2      timer_create
freebsd/man2/timer_delete.2      timer_delete
freebsd/man2/timer_settime.2     timer_getoverrun,timer_gettime,timer_settime
freebsd/man2/truncate.2          truncate,ftruncate
freebsd/man2/umask.2             umask
freebsd/man2/undelete.2          undelete
freebsd/man2/unlink.2            unlink,unlinkat
freebsd/man2/utimensat.2         futimens,utimensat
freebsd/man2/utimes.2            utimes,lutimes,futimes,futimesat
freebsd/man2/utrace.2            utrace
freebsd/man2/uuidgen.2           uuidgen
freebsd/man2/vfork.2             vfork
freebsd/man2/wait.2              wait,waitid,waitpid,wait3,wait4,wait6
freebsd/man2/write.2             write,writev,pwrite,pwritev
freebsd/man3/__iconv_get_list.3  __iconv_get_list,__iconv_free_list,.Xr,iconv,3
freebsd/man3/a64l.3              a64l,l64a,l64a_r
freebsd/man3/abort.3             abort
freebsd/man3/abs.3               abs
freebsd/man3/acl.3               acl
freebsd/man3/acl_add_flag_np.3   acl_add_flag_np
freebsd/man3/acl_add_perm.3      acl_add_perm
freebsd/man3/acl_calc_mask.3     acl_calc_mask
freebsd/man3/acl_clear_flags_np.3 acl_clear_flags_np
freebsd/man3/acl_clear_perms.3   acl_clear_perms
freebsd/man3/acl_copy_entry.3    acl_copy_entry
freebsd/man3/acl_create_entry.3  acl_create_entry,acl_create_entry_np
freebsd/man3/acl_delete.3        acl_delete_def_file,acl_delete_def_link_np,acl_delete_fd_np,acl_delete_file_np,acl_delete_link_np
freebsd/man3/acl_delete_entry.3  acl_delete_entry,acl_delete_entry_np
freebsd/man3/acl_delete_flag_np.3 acl_delete_flag_np
freebsd/man3/acl_delete_perm.3   acl_delete_perm
freebsd/man3/acl_dup.3           acl_dup
freebsd/man3/acl_free.3          acl_free
